time,dx_obs,dy_obs,dz_obs
3.13,0.0,0.0,-2.1577892832125816
3.14,0.0,0.0,-2.1441654981224296
3.15,0.0,0.0,-2.1515177963483447
3.16,0.0,0.0,-2.1434943803969966
3.17,0.0,0.0,-2.1292255902310395
3.18,0.0,0.0,-2.1107231788888745
3.19,0.0,0.0,-2.0892316502146326
3.2,0.0,0.0,-2.097334827224381
3.21,0.0,0.0,-2.090777975440192
3.22,0.0,0.0,-2.078061622317114
3.23,0.0,0.0,-2.0614468768177323
3.24,0.0,0.0,-2.0744111535987204
3.25,0.0,0.0,-2.076318987002653
3.26,0.0,0.0,-2.066694743400009
3.27,0.0,0.0,-2.0526456953550705
3.28,0.0,0.0,-2.035567350836865
3.29,0.0,0.0,-2.0571087562406474
3.3,0.0,0.0,-2.070180070270201
3.31,0.0,0.0,-2.0731047651224257
3.32,0.0,0.0,-2.064486709247444
3.33,0.0,0.0,-2.0753237967737865
3.34,0.0,0.0,-2.0918363411383725
3.35,0.0,0.0,-2.099442472935814
3.36,0.0,0.0,-2.0937798305168616
3.37,0.0,0.0,-2.0827301564377625
3.38,0.0,0.0,-2.0683143735949745
3.39,0.0,0.0,-2.077253412619879
3.4,0.0,0.0,-2.073897755992941
3.41,0.0,0.0,-2.064585526068678
3.42,0.0,0.0,-2.051904523238918
3.43,0.0,0.0,-2.036984017024487
3.44,0.0,0.0,-2.0401001903245986
3.45,0.0,0.0,-2.033207428408534
3.46,0.0,0.0,-2.0228168358796808
3.47,0.0,0.0,-2.010292671594732
3.48,0.0,0.0,-2.0296007483038303
3.49,0.0,0.0,-2.042314673146392
3.5,0.0,0.0,-2.0479555270915997
3.51,0.0,0.0,-2.0434859276526733
3.52,0.0,0.0,-2.035168331774404
3.53,0.0,0.0,-2.0421701023020247
3.54,0.0,0.0,-2.0533141910138424
3.55,0.0,0.0,-2.0577307135016607
3.56,0.0,0.0,-2.052962945958249
3.57,0.0,0.0,-2.0450248713331116
3.58,0.0,0.0,-2.0352052676684362
3.59,0.0,0.0,-2.0418294865219413
3.6,0.0,0.0,-2.040229394764855
3.61,0.0,0.0,-2.034565720982429
3.62,0.0,0.0,-2.0269638421852574
3.63,0.0,0.0,-2.0312881236438676
3.64,0.0,0.0,-2.0283457712870656
3.65,0.0,0.0,-2.0228886348000414
3.66,0.0,0.0,-2.0161379552082117
3.67,0.0,0.0,-2.0087042301362743
3.68,0.0,0.0,-2.0200683281475547
3.69,0.0,0.0,-2.027348620902793
3.7,0.0,0.0,-2.0305493916288593
3.71,0.0,0.0,-2.0283485997820683
3.72,0.0,0.0,-2.0352787543180644
3.73,0.0,0.0,-2.0385545899835638
3.74,0.0,0.0,-2.043361305374903
3.75,0.0,0.0,-2.0445158845547464
3.76,0.0,0.0,-2.0419894030103727
3.77,0.0,0.0,-2.038728108868182
3.78,0.0,0.0,-2.0374921942825748
3.79,0.0,0.0,-2.0353979563963676
3.8,0.0,0.0,-2.0331545494540175
3.81,0.0,0.0,-2.031095180109658
3.82,0.0,0.0,-2.0294569445728867
3.83,0.0,0.0,-2.028344845870432
3.84,0.0,0.0,-2.0283974951885106
3.85,0.0,0.0,-2.0293196600193646
3.86,0.0,0.0,-2.030667129419184
3.87,0.0,0.0,-2.032483055042397
3.88,0.0,0.0,-2.0269210736147527
3.89,0.0,0.0,-2.0241484259859224
3.9,0.0,0.0,-2.0255491691212435
3.91,0.0,0.0,-2.0285480155428353
3.92,0.0,0.0,-2.024115578334527
3.93,0.0,0.0,-2.024591521822918
3.94,0.0,0.0,-2.0161707851821773
3.95,0.0,0.0,-2.0119648368377816
3.96,0.0,0.0,-2.014109813713569
3.97,0.0,0.0,-2.018846137921785
3.98,0.0,0.0,-2.0139391494212604
3.99,0.0,0.0,-2.0161348488785786
4.0,0.0,0.0,-2.0214765258563934
4.01,0.0,0.0,-2.0285414050469126
4.02,0.0,0.0,-2.0369529818116128
4.03,0.0,0.0,-2.0295344974189455
4.04,0.0,0.0,-2.0286435281370934
4.05,0.0,0.0,-2.0341402496965917
4.06,0.0,0.0,-2.042012550768785
4.07,0.0,0.0,-2.0425862928726057
4.08,0.0,0.0,-2.048511603984194
4.09,0.0,0.0,-2.0569623431147246
4.1,0.0,0.0,-2.067232975137266
4.11,0.0,0.0,-2.078973174619771
4.12,0.0,0.0,-2.0607879505530433
4.13,0.0,0.0,-2.048906127804981
4.14,0.0,0.0,-2.0442464927377153
4.15,0.0,0.0,-2.049709770028978
4.16,0.0,0.0,-2.040992598162249
4.17,0.0,0.0,-2.0208452771897125
4.18,0.0,0.0,-2.0080474439249896
4.19,0.0,0.0,-2.003798664279431
4.2,0.0,0.0,-2.010920034346832
4.21,0.0,0.0,-2.0223599904032836
4.22,0.0,0.0,-2.01314407786563
4.23,0.0,0.0,-2.016356638667296
4.24,0.0,0.0,-2.02602677911051
4.25,0.0,0.0,-2.0394196521447205
4.26,0.0,0.0,-2.0336222109658246
4.27,0.0,0.0,-2.040320346386252
4.28,0.0,0.0,-2.051999801159053
4.29,0.0,0.0,-2.0670332278103767
4.3,0.0,0.0,-2.0845990349887176
4.31,0.0,0.0,-2.0735634725038166
4.32,0.0,0.0,-2.0750103520673404
4.33,0.0,0.0,-2.084531126682092
