time,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi
19.33,0.26949112288979316,1.4755929434243036,0.8769753332232135,0.14853542991399127,-0.0899606954627252,0.0
19.34,0.25386944359724184,1.4783606818390524,0.878714161519612,0.1323060459980999,-0.05731639786509581,0.0
19.35,0.23837444986840353,1.4809380883919268,0.8804405860201283,0.13965515865810701,-0.06291888042748149,0.0
19.36,0.22269797810055597,1.483376422405966,0.8821890655715267,0.14325040789772614,-0.06731142096463769,0.0
19.37,0.20730774314401496,1.4856054320150205,0.8839075266813757,0.146425854287243,-0.07198411599009637,0.0
19.38,0.19173943696293644,1.4876948572584143,0.885647905973226,0.1361990829289014,-0.05261590173349065,0.0
19.39,0.1761501043918985,1.4896211399959132,0.8873927996899463,0.1292174807512056,-0.04103474652661979,0.0
19.4,0.16054145497687208,1.491384068988907,0.8891421389461209,0.13627045244301667,-0.04493287081364616,0.0
19.41,0.1449152003821803,1.4929834509123647,0.89089585468083,0.1407127792736394,-0.04846791425154267,0.0
19.42,0.12911655829088972,1.4944326396245216,0.8926714794070763,0.14482243584502794,-0.05239618277887463,0.0
19.43,0.11361673177607175,1.495690889943682,0.8944161384810358,0.14851230854204442,-0.05670970647784814,0.0
19.44,0.09794794999446052,1.4967986501503412,0.8961825675717541,0.1415159249933957,-0.04355767316148942,0.0
19.45,0.0824252698686741,1.497733646175807,0.8979353698623195,0.1470059978170621,-0.047934900745512356,0.0
19.46,0.0667368070324343,1.4985146641214813,0.8997098861847214,0.1503713566493851,-0.0521236274873863,0.0
19.47,0.05088403680549553,1.4991366898313103,0.9015061663020809,0.15406336795850162,-0.05659918738946382,0.0
19.48,0.03533964725041831,1.4995836453270008,0.9032707264642625,0.14260543882358598,-0.035204545855827725,0.0
19.49,0.019477327074366307,1.4998735392459055,0.9050747907253385,0.14699963015641823,-0.039026543141118246,0.0
19.5,0.0037699072155077075,1.499995262592381,0.9068647594225302,0.15038126910974994,-0.04311636192239378,0.0
19.51,-0.011937926056149406,1.4999524945549034,0.9086584049395479,0.15433761587959635,-0.04741860498846564,0.0
19.52,-0.027801503002091332,1.4997423366801463,0.9104736469520042,0.15886019089445358,-0.05186324055621925,0.0
19.53,-0.043347942817755405,1.4993735211258965,0.9122564430504827,0.13751633437807825,-0.019744835940726034,0.0
19.54,-0.05904668184538635,1.498837379225328,0.9140606936000171,0.14102353926690273,-0.022601851017704178,0.0
19.55,-0.07473894573896797,1.4981368729157656,0.9158683368862155,0.14469540970534675,-0.025996637315793422,0.0
19.56,-0.09057980713428601,1.4972626017300756,0.917697427724168,0.1480847795080408,-0.029706794771105657,0.0
19.57,-0.10609716568843416,1.4962430923592869,0.9194935160868396,0.1522620559484007,-0.033682044457880464,0.0
19.58,-0.1217596829621369,1.4950500257867494,0.9213109088853968,0.14002528783300097,-0.014999535279429568,0.0
19.59,-0.13740884791448532,1.4936930101312031,0.9231314081945338,0.1289371372998668,-0.003710734686606834,0.0
19.6,-0.15319920350554192,1.4921561594033201,0.9249731925650055,0.13410743522454563,-0.005847101736800041,0.0
19.61,-0.1686602580784469,1.490487744781859,0.9267814387439641,0.13839186419022265,-0.008429977802066932,0.0
19.62,-0.1841031852105162,1.4886591339844528,0.9285925179447211,0.14171211650171417,-0.011343342324772103,0.0
19.63,-0.199837688278931,1.486628702246574,0.9304430313529922,0.14520105917251866,-0.014563211996599646,0.0
19.64,-0.2153943858826226,1.4844545323216356,0.9322779828087054,0.13773428512834668,-0.0033373608814946973,0.0
19.65,-0.23108266878769285,1.4820933844349884,0.9341339973198,0.14103945301545556,-0.0061875313554175596,0.0
19.66,-0.24643521644800315,1.4796180872421858,0.9359558338216848,0.14485971539207082,-0.009355161614111193,0.0
19.67,-0.26191594543282215,1.476956342458379,0.9377985881836894,0.149303991051386,-0.012663331531819673,0.0
19.68,-0.27736795238269996,1.4741326327678352,0.9396437981509272,0.13540405760368063,0.004265276204434846,0.0
19.69,-0.29278954281093583,1.471147267822145,0.9414913908776672,0.1393607899166968,0.0016691493572868496,0.0
19.7,-0.30817902556637466,1.468000575000215,0.9433412934241124,0.14321518829204125,-0.001234595374082725,0.0
19.71,-0.32353471301878783,1.4646928993723733,0.9451934327592781,0.14778361473781856,-0.004333736769135004,0.0
19.72,-0.33885492124402405,1.4612246036625258,0.947047735763875,0.15289161310946514,-0.007542265776252743,0.0
19.73,-0.35413797020858756,1.4575960682083842,0.9489041292331942,0.1285951551931627,0.016876486983626163,0.0
19.74,-0.36968666062104605,1.4537302958110427,0.950799728164396,0.13431260675613613,0.015179770476375263,0.0
19.75,-0.3847377176436308,1.4498196055448997,0.9526415074498112,0.1374727279240008,0.01283963283059233,0.0
19.76,-0.39959602232867775,1.445794943599922,0.9544664878966347,0.14147785104893293,0.010306489441152072,0.0
19.77,-0.4148651192696129,1.4414877497965108,0.9563491408358569,0.12829531850353906,0.023169993534801196,0.0
19.78,-0.4300878071414676,1.4370193033318106,0.9582335516736894,0.13400339064535954,0.021775297863703084,0.0
19.79,-0.4449623742061989,1.43248332818947,0.960082280310965,0.1373246156934777,0.019668103750301473,0.0
19.8,-0.4599386327998235,1.427745234297153,0.9619512507341234,0.12784541989212023,0.02854251253041151,0.0
19.81,-0.4748644539393142,1.4228505720506686,0.9638217232567534,0.13357540275797047,0.02746979594163686,0.0
19.82,-0.48988666981068996,1.4177485851665625,0.9657123500062934,0.13689366070892617,0.02561107190061452,0.0
19.83,-0.5045582424285148,1.4125937066253147,0.9675668791718309,0.14129726961792505,0.023487134281363783,0.0
19.84,-0.5194703157281492,1.4071782371388848,0.9694601662830284,0.1321385690130285,0.031817531485504424,0.0
19.85,-0.5338839245837366,1.4017731467933996,0.9712983935046823,0.13715148431984556,0.030362476715853088,0.0
19.86,-0.548679913987994,1.3960481195095407,0.9731940309429347,0.1417166144362903,0.02844135314226252,0.0
19.87,-0.5632689440435781,1.3902259156971701,0.975071963486964,0.1470554972441954,0.0263085302573602,0.0
19.88,-0.5779411605963458,1.3841907436796945,0.9769696740326355,0.13076614239085219,0.03892337162736236,0.0
19.89,-0.5922601047152958,1.3781248014467447,0.978830706747204,0.13559760975141266,0.03768893143463035,0.0
19.9,-0.6068027123020545,1.371783681322557,0.9807301796671823,0.14037236268603528,0.03603823666892509,0.0
19.91,-0.6211344634893328,1.365354158548551,0.9826116107165441,0.14580990370499927,0.03420819114839723,0.0
19.92,-0.6352558062236724,1.3588414405879425,0.9844749039005665,0.1326750807513454,0.04307731449371169,0.0
19.93,-0.6495920585149559,1.352046655080474,0.9863764579039987,0.13827221865509634,0.04196571208241052,0.0
19.94,-0.6637147816573281,1.3451701337041229,0.988259725412369,0.14368756993890194,0.04040453872131284,0.0
19.95,-0.6774844454678475,1.3382880206252785,0.9901057777256052,0.14938450683393828,0.038762860476126246,0.0
19.96,-0.6916009525898714,1.3310477536049505,0.9920087336373931,0.1551120111449607,0.03710994081602715,0.0
19.97,-0.7056400934670846,1.323658588342087,0.993912011371852,0.12203102374432792,0.05504762500918368,0.0
19.98,-0.719324634012948,1.316272035295947,0.9957778388692706,0.12637131592726455,0.0548309765517787,0.0
19.99,-0.7332059488730454,1.3085904770160832,0.9976815277010047,0.13079999606970816,0.05407619790809415,0.0
20.0,-0.7468690236975404,1.300840751760601,0.9995664603647054,0.13592180351223415,0.05314503529228993,0.0
20.01,-0.7604501959171474,1.2929483746575403,1.0014514101438097,0.12305537271279385,0.05906146041878926,0.0
